1375196305384 1 1.50332 0.293173  0.375038 1.5584 0.312167  0.154247 1.60233 0.32766  -0.0705724 1.58859 0.133955  0.147864 1.64806 0.104052  -0.155697 1.62027 0.102428  -0.454784 1.66389 0.239043  -0.299121 1.71145 0.237676  -0.755846 1.71158 0.237677  -1.19738 1.52821 0.490378  0.16063 1.56996 0.552911  -0.146238 1.5443 0.551221  -0.460215 1.62862 0.447265  -0.291663 1.62853 0.447541  -0.75086 1.62623 0.454715  -1.19233 
1375196305384 2 1.48525 -0.440916  0.385287 1.56201 -0.442268  0.169197 1.61757 -0.435002  -0.0581904 1.50401 -0.613375  0.149557 1.57436 -0.653892  -0.149954 1.54803 -0.558558  -0.449195 1.63814 -0.530966  -0.297426 1.65052 -0.515195  -0.765412 1.65052 -0.515195  -1.21581 1.62001 -0.271162  0.188837 1.68098 -0.225258  -0.131727 1.60702 -0.248057  -0.428042 1.70812 -0.324507  -0.273729 1.69335 -0.191319  -0.722477 1.67903 -0.0638042  -1.15401 




1375196305484 1 1.50421 0.293935  0.376906 1.55874 0.312515  0.15561 1.60196 0.327056  -0.0694085 1.58835 0.134189  0.149773 1.64615 0.105049  -0.154164 1.61895 0.101679  -0.453293 1.66252 0.237154  -0.297846 1.68688 0.235961  -0.756394 1.68698 0.23596  -1.19793 1.52913 0.49084  0.161447 1.57333 0.546292  -0.148281 1.54335 0.549669  -0.461852 1.62783 0.44604  -0.291008 1.62779 0.446181  -0.750205 1.62612 0.451414  -1.19171 
1375196305484 2 1.4836 -0.444668  0.38516 1.56138 -0.444962  0.168659 1.61806 -0.436967  -0.0584302 1.50119 -0.615148  0.147645 1.57066 -0.652861  -0.150847 1.5542 -0.557701  -0.450836 1.63849 -0.531417  -0.29817 1.64858 -0.502319  -0.765571 1.64858 -0.502319  -1.21597 1.62158 -0.274776  0.189674 1.68647 -0.224082  -0.128224 1.61182 -0.24521  -0.424488 1.71097 -0.326526  -0.27287 1.70301 -0.192358  -0.721475 1.69534 -0.0634198  -1.15283 




1375196305584 1 1.50894 0.295061  0.374667 1.55939 0.313242  0.153615 1.60038 0.327555  -0.0718381 1.58923 0.134954  0.14772 1.64576 0.105344  -0.153704 1.61525 0.106422  -0.452498 1.65884 0.237415  -0.300746 1.67131 0.236675  -0.759772 1.67138 0.236673  -1.20131 1.52956 0.49153  0.159511 1.57317 0.548186  -0.149915 1.54331 0.552613  -0.463492 1.62388 0.446322  -0.293838 1.62385 0.446395  -0.753035 1.62264 0.45021  -1.19455 
1375196305584 2 1.47614 -0.449286  0.381886 1.5589 -0.446149  0.16638 1.62094 -0.434683  -0.0591481 1.49952 -0.616087  0.141405 1.57233 -0.649332  -0.158932 1.55821 -0.550799  -0.457958 1.64759 -0.52451  -0.299562 1.65592 -0.499946  -0.767258 1.65592 -0.499946  -1.21766 1.61828 -0.276211  0.191354 1.69223 -0.222335  -0.124066 1.6212 -0.23881  -0.421455 1.71838 -0.321925  -0.26979 1.7282 -0.219313  -0.726721 1.72635 -0.187486  -1.17599 




1375196305684 1 1.50489 0.294192  0.375416 1.55818 0.312944  0.154188 1.60106 0.328109  -0.0708572 1.58723 0.134546  0.147699 1.64306 0.106258  -0.158025 1.61295 0.106057  -0.456889 1.66095 0.238753  -0.299704 1.66733 0.23834  -0.758857 1.66738 0.238339  -1.20039 1.52914 0.491341  0.160677 1.5723 0.546869  -0.152104 1.54193 0.551009  -0.465641 1.62692 0.447798  -0.2921 1.6269 0.447835  -0.751297 1.62602 0.450617  -1.19282 
1375196305684 2 1.48133 -0.455802  0.381061 1.55862 -0.446508  0.165274 1.62075 -0.431454  -0.0600249 1.5024 -0.617216  0.138364 1.57674 -0.650612  -0.159371 1.56303 -0.542462  -0.455072 1.64942 -0.517961  -0.301334 1.66175 -0.50119  -0.769286 1.66175 -0.50119  -1.21968 1.61485 -0.2758  0.192185 1.6909 -0.221338  -0.119537 1.63259 -0.228647  -0.420026 1.71632 -0.314837  -0.269314 1.74484 -0.229596  -0.729023 1.74461 -0.225643  -1.1794 




1375196305784 1 1.50407 0.293885  0.374948 1.55761 0.312522  0.153331 1.60064 0.328324  -0.0716428 1.58669 0.134147  0.146364 1.64106 0.104957  -0.159119 1.6124 0.108746  -0.458099 1.66071 0.239616  -0.3007 1.66397 0.239396  -0.759885 1.66401 0.239395  -1.20142 1.52854 0.490898  0.160299 1.5723 0.547146  -0.152234 1.54194 0.551571  -0.465768 1.62664 0.448636  -0.292535 1.62663 0.448655  -0.751731 1.62599 0.450683  -1.19326 
1375196305784 2 1.47647 -0.459548  0.37925 1.55709 -0.446994  0.165627 1.62311 -0.429269  -0.0583688 1.50633 -0.619129  0.137045 1.58832 -0.653662  -0.160325 1.56967 -0.549755  -0.457292 1.65895 -0.513931  -0.299365 1.67271 -0.518664  -0.767553 1.67271 -0.518664  -1.21795 1.60785 -0.274859  0.194208 1.68718 -0.221708  -0.11367 1.64245 -0.22314  -0.41657 1.71933 -0.309159  -0.265364 1.74784 -0.241782  -0.72803 1.74781 -0.241289  -1.17843 




1375196305884 1 1.50221 0.293621  0.374717 1.55718 0.311573  0.154246 1.60132 0.325963  -0.0705945 1.58702 0.133279  0.148694 1.63914 0.106021  -0.158012 1.61253 0.108187  -0.457203 1.66295 0.235891  -0.298688 1.66462 0.235776  -0.757882 1.66465 0.235775  -1.19942 1.52734 0.489867  0.159798 1.57158 0.548447  -0.150789 1.54189 0.552107  -0.464401 1.62799 0.444816  -0.292182 1.62798 0.444825  -0.751379 1.62751 0.446304  -1.19291 
1375196305884 2 1.46665 -0.457461  0.373962 1.55453 -0.448531  0.162562 1.6251 -0.435173  -0.0603401 1.51008 -0.623005  0.138035 1.60038 -0.65748  -0.163135 1.57781 -0.555324  -0.460439 1.66923 -0.525585  -0.29783 1.67749 -0.532095  -0.766127 1.67748 -0.532095  -1.21653 1.59898 -0.274058  0.18709 1.68235 -0.221104  -0.118171 1.64254 -0.23336  -0.421526 1.7221 -0.318044  -0.268654 1.74759 -0.251078  -0.731556 1.74758 -0.251016  -1.18195 




1375196305984 1 1.50343 0.295055  0.375382 1.55691 0.311597  0.154137 1.59984 0.323851  -0.071073 1.58709 0.133316  0.150189 1.63889 0.104796  -0.154914 1.61263 0.105857  -0.454144 1.66045 0.23165  -0.298596 1.6613 0.231591  -0.757792 1.66132 0.23159  -1.19933 1.52673 0.489879  0.158084 1.57269 0.544098  -0.150706 1.5399 0.555991  -0.463783 1.62508 0.44056  -0.29397 1.62508 0.440565  -0.753167 1.62474 0.441643  -1.1947 
1375196305984 2 1.46552 -0.457273  0.375295 1.55388 -0.448948  0.164444 1.62611 -0.436509  -0.0579925 1.51306 -0.62453  0.14137 1.60615 -0.661107  -0.157268 1.58213 -0.561107  -0.455188 1.67407 -0.528494  -0.294152 1.68212 -0.531424  -0.762488 1.68212 -0.531424  -1.21289 1.5947 -0.273365  0.187518 1.67938 -0.220665  -0.12104 1.63863 -0.249824  -0.42309 1.72262 -0.319648  -0.266707 1.75505 -0.251463  -0.728996 1.75505 -0.251455  -1.17939 




1375196306084 1 1.50333 0.295171  0.374245 1.55595 0.312176  0.1528 1.59902 0.325476  -0.0723277 1.58503 0.133737  0.147821 1.63884 0.105584  -0.155141 1.61388 0.105483  -0.454484 1.65913 0.23423  -0.300372 1.65957 0.2342  -0.759569 1.65958 0.234199  -1.2011 1.52687 0.490614  0.157778 1.57152 0.546525  -0.151702 1.53753 0.557523  -0.464689 1.62506 0.443324  -0.294538 1.62505 0.443327  -0.753735 1.62481 0.444113  -1.19527 
1375196306084 2 1.46889 -0.457721  0.374831 1.55537 -0.448138  0.16414 1.62723 -0.433245  -0.0582678 1.51592 -0.623848  0.139629 1.60898 -0.663044  -0.158942 1.58338 -0.566452  -0.457861 1.67563 -0.522857  -0.295254 1.68475 -0.543287  -0.763134 1.68475 -0.543287  -1.21353 1.59481 -0.272428  0.188652 1.67711 -0.221776  -0.121031 1.63576 -0.256029  -0.422535 1.72256 -0.313849  -0.266097 1.74751 -0.259867  -0.730721 1.74751 -0.259866  -1.18112 




1375196306184 1 1.50326 0.295734  0.375421 1.55575 0.312832  0.154057 1.59848 0.326964  -0.0710812 1.58505 0.134449  0.148423 1.63821 0.106268  -0.155885 1.61401 0.105039  -0.455284 1.65839 0.236581  -0.299521 1.65861 0.236566  -0.758718 1.65862 0.236565  -1.20025 1.52644 0.491215  0.159692 1.57184 0.545807  -0.153886 1.53667 0.553188  -0.466855 1.62406 0.44561  -0.292918 1.62405 0.445611  -0.752115 1.62387 0.446184  -1.19365 
1375196306184 2 1.46718 -0.454436  0.374921 1.55633 -0.444897  0.165433 1.62915 -0.429824  -0.0566519 1.51607 -0.620339  0.140323 1.6084 -0.662842  -0.158077 1.58177 -0.568366  -0.457584 1.67803 -0.519096  -0.293671 1.67214 -0.55112  -0.760953 1.67214 -0.55112  -1.21135 1.59659 -0.269454  0.190543 1.67558 -0.222258  -0.121921 1.62986 -0.261163  -0.422236 1.72592 -0.310405  -0.263802 1.73832 -0.265628  -0.729907 1.73832 -0.265628  -1.18031 




1375196306284 1 1.50433 0.295943  0.373845 1.55527 0.313127  0.152187 1.59694 0.32787  -0.0731142 1.58394 0.134664  0.145811 1.63813 0.104474  -0.157294 1.61302 0.106166  -0.456612 1.65537 0.238313  -0.302141 1.71684 0.241799  -0.757192 1.71609 0.241708  -1.19873 1.5266 0.491589  0.158562 1.56961 0.548088  -0.155099 1.53813 0.550727  -0.468539 1.62186 0.446915  -0.294689 1.62185 0.446916  -0.753886 1.62172 0.447334  -1.19542 
1375196306284 2 1.47761 -0.456529  0.377802 1.55847 -0.445226  0.16539 1.62656 -0.429396  -0.0581276 1.51711 -0.620426  0.14038 1.6069 -0.661203  -0.157747 1.57538 -0.564316  -0.456005 1.67005 -0.517766  -0.29652 1.66137 -0.560839  -0.762869 1.66137 -0.560839  -1.21327 1.59983 -0.270027  0.190399 1.67455 -0.221088  -0.122885 1.62723 -0.260542  -0.422886 1.71926 -0.309364  -0.26677 1.72709 -0.2727  -0.733682 1.72709 -0.2727  -1.18408 




1375196306384 1 1.50341 0.296079  0.375254 1.5552 0.313184  0.154084 1.59732 0.327128  -0.0711859 1.58496 0.134869  0.148609 1.63742 0.10448  -0.155571 1.61124 0.104888  -0.454809 1.65686 0.236629  -0.299662 1.68845 0.23767  -0.75777 1.6879 0.237611  -1.19931 1.52545 0.491499  0.159558 1.56834 0.548743  -0.153237 1.53763 0.555542  -0.466689 1.62201 0.445514  -0.293249 1.62201 0.445514  -0.752446 1.62191 0.445818  -1.19398 
1375196306384 2 1.47841 -0.455207  0.377576 1.55989 -0.444016  0.165005 1.62681 -0.427928  -0.0588554 1.51682 -0.618742  0.139573 1.60336 -0.661851  -0.159393 1.57059 -0.564163  -0.45726 1.66811 -0.515757  -0.297841 1.65715 -0.560492  -0.763986 1.65714 -0.560492  -1.21438 1.60296 -0.269291  0.190437 1.67442 -0.220035  -0.125243 1.62261 -0.261393  -0.424228 1.71934 -0.307921  -0.26759 1.71712 -0.272995  -0.734695 1.71711 -0.272995  -1.18509 




1375196306484 1 1.5034 0.296712  0.374189 1.55434 0.313717  0.152736 1.5962 0.327455  -0.0725957 1.58423 0.13542  0.147418 1.6369 0.104275  -0.15654 1.61145 0.104862  -0.455839 1.65556 0.236733  -0.301044 1.67175 0.237071  -0.759955 1.67135 0.237031  -1.20149 1.52445 0.492014  0.158055 1.56698 0.550414  -0.152359 1.53649 0.55446  -0.465884 1.62054 0.445653  -0.294812 1.62053 0.445653  -0.754009 1.62046 0.445875  -1.19554 
1375196306484 2 1.48339 -0.456679  0.379473 1.5606 -0.44685  0.165925 1.62416 -0.432684  -0.0590366 1.51718 -0.621789  0.142641 1.59963 -0.662034  -0.161598 1.56491 -0.561639  -0.458336 1.6619 -0.522562  -0.297846 1.65319 -0.555262  -0.765037 1.65319 -0.555262  -1.21544 1.60402 -0.271911  0.189209 1.67437 -0.22164  -0.127247 1.61933 -0.262083  -0.425797 1.71354 -0.314473  -0.27015 1.71564 -0.268625  -0.736311 1.71564 -0.268625  -1.18671 




1375196306584 1 1.50246 0.29587  0.373552 1.55402 0.312922  0.151979 1.59594 0.32612  -0.0733684 1.58422 0.134665  0.147158 1.63525 0.105115  -0.158753 1.60944 0.101994  -0.458006 1.65556 0.234906  -0.301539 1.69498 0.237616  -0.759032 1.69545 0.236593  -1.20057 1.52382 0.491179  0.156799 1.56643 0.549943  -0.15472 1.53397 0.553546  -0.468057 1.62018 0.443727  -0.295892 1.62017 0.443727  -0.755089 1.62012 0.443889  -1.19662 
1375196306584 2 1.48463 -0.455719  0.380255 1.56178 -0.445959  0.166367 1.62339 -0.431368  -0.0591133 1.51797 -0.620804  0.143083 1.59751 -0.660628  -0.160951 1.55999 -0.5624  -0.458072 1.65895 -0.520767  -0.298442 1.64708 -0.552523  -0.765628 1.64708 -0.552523  -1.21603 1.60558 -0.271114  0.189651 1.67351 -0.222298  -0.127476 1.61609 -0.26095  -0.425812 1.71106 -0.312787  -0.270746 1.71553 -0.265954  -0.736792 1.71552 -0.265954  -1.18719 




1375196306684 1 1.50305 0.295695  0.374267 1.55419 0.312275  0.152667 1.59577 0.324936  -0.0727779 1.58384 0.133917  0.148119 1.63507 0.104133  -0.157261 1.60596 0.0998323  -0.456196 1.65469 0.233283  -0.300883 1.71631 0.243367  -0.755815 1.71626 0.24327  -1.19735 1.52454 0.490633  0.157215 1.56812 0.548498  -0.155111 1.53352 0.554121  -0.468185 1.62001 0.441911  -0.295563 1.62001 0.441911  -0.75476 1.61997 0.442029  -1.1963 
1375196306684 2 1.4854 -0.455722  0.383534 1.56246 -0.444943  0.168571 1.62183 -0.429613  -0.0574584 1.51758 -0.619466  0.144945 1.59523 -0.660949  -0.159187 1.55586 -0.566728  -0.457368 1.65451 -0.518082  -0.29754 1.64124 -0.553934  -0.764392 1.64123 -0.553934  -1.21479 1.60733 -0.270421  0.192198 1.67127 -0.220651  -0.12588 1.61144 -0.261592  -0.423438 1.7079 -0.310482  -0.269436 1.70985 -0.269264  -0.736029 1.70985 -0.269264  -1.18643 




1375196306784 1 1.50582 0.295889  0.37448 1.55435 0.310961  0.152775 1.59465 0.322652  -0.0729494 1.58485 0.132729  0.14899 1.63595 0.103365  -0.153954 1.60592 0.0990356  -0.4528 1.6528 0.230002  -0.300891 1.71105 0.243252  -0.756185 1.71105 0.24324  -1.19772 1.52385 0.489193  0.156561 1.568 0.544023  -0.153845 1.53149 0.554348  -0.466575 1.61709 0.438686  -0.296458 1.61708 0.438686  -0.755655 1.61706 0.438772  -1.19719 
1375196306784 2 1.48361 -0.454132  0.37968 1.56285 -0.445272  0.165192 1.62218 -0.430533  -0.0608913 1.51841 -0.619984  0.142138 1.59409 -0.66084  -0.160874 1.55351 -0.565593  -0.458569 1.65508 -0.519707  -0.300686 1.64347 -0.558567  -0.767341 1.64347 -0.558567  -1.21774 1.6073 -0.270559  0.188245 1.66922 -0.220349  -0.127942 1.61069 -0.256661  -0.42635 1.70795 -0.311883  -0.273263 1.71489 -0.272816  -0.739994 1.71488 -0.272816  -1.19039 




